visualization,cardinality,time,confidence
wordcloud,5w,85,5
histogram,10w,95,4
topic-in-a-box,10w,38,5
wordcloud,10w,21,4
word,20w,19,4
topic-in-a-box,20w,156,3
wordcloud,5w,30,4
word,10w,86,2
wordcloud,5w,67,2
topic-in-a-box,10w,15,4
wordcloud,10w,39,5
wordcloud,20w,40,4
wordcloud,20w,41,4
histogram,5w,43,4
word,20w,74,4
histogram,10w,36,4
histogram,5w,29,4
histogram,20w,32,5
word,10w,114,3
topic-in-a-box,20w,95,3
histogram,5w,47,5
histogram,10w,55,4
word,10w,56,3
wordcloud,20w,123,4
wordcloud,5w,29,4
word,10w,39,4
topic-in-a-box,10w,19,4
topic-in-a-box,20w,46,5
word,5w,46,5
wordcloud,5w,34,2
topic-in-a-box,5w,17,3
word,10w,27,4
topic-in-a-box,5w,29,2
word,10w,78,4
word,10w,68,4
word,20w,52,3
histogram,5w,51,4
word,5w,40,3
topic-in-a-box,20w,110,2
histogram,20w,16,4
topic-in-a-box,10w,39,3
word,10w,53,5
wordcloud,5w,99,4
wordcloud,20w,56,4
word,10w,38,4
word,5w,59,3
histogram,5w,72,4
topic-in-a-box,10w,54,4
histogram,10w,41,3
wordcloud,5w,58,4
wordcloud,5w,36,3
topic-in-a-box,20w,166,3
word,5w,47,4
topic-in-a-box,5w,22,2
wordcloud,20w,12,4
wordcloud,20w,62,4
histogram,20w,30,4
word,20w,52,3
wordcloud,5w,202,3
histogram,10w,22,5
topic-in-a-box,5w,142,3
topic-in-a-box,20w,212,4
topic-in-a-box,5w,53,4
word,10w,53,4
histogram,5w,36,1
histogram,20w,68,4
topic-in-a-box,10w,108,3
histogram,5w,23,1
word,10w,24,5
word,5w,80,3
topic-in-a-box,10w,30,4
topic-in-a-box,20w,51,4
word,5w,32,4
topic-in-a-box,20w,64,3
wordcloud,5w,19,5
topic-in-a-box,10w,60,4
histogram,5w,38,3
histogram,10w,76,3
topic-in-a-box,10w,51,4
word,5w,45,4
histogram,10w,45,2
wordcloud,10w,48,4
topic-in-a-box,10w,73,3
histogram,5w,194,3
histogram,20w,37,4
topic-in-a-box,20w,539,3
topic-in-a-box,20w,38,4
wordcloud,5w,71,4
wordcloud,20w,40,4
histogram,5w,63,3
word,5w,10,3
word,10w,37,3
wordcloud,20w,54,3
histogram,10w,44,2
wordcloud,20w,73,2
word,5w,38,5
histogram,5w,68,2
histogram,5w,32,5
topic-in-a-box,5w,35,4
histogram,20w,64,2
word,10w,35,4
histogram,5w,30,5
word,10w,67,5
topic-in-a-box,20w,47,3
wordcloud,10w,48,3
topic-in-a-box,20w,128,4
word,10w,20,4
topic-in-a-box,10w,46,3
topic-in-a-box,5w,32,1
topic-in-a-box,5w,40,3
histogram,20w,51,3
topic-in-a-box,5w,100,5
wordcloud,10w,46,5
wordcloud,5w,51,3
histogram,10w,11,5
word,20w,23,4
histogram,10w,68,3
histogram,10w,27,3
word,5w,78,4
word,10w,79,3
histogram,10w,21,3
wordcloud,20w,42,5
word,5w,66,4
histogram,20w,54,4
word,20w,39,3
word,10w,86,3
topic-in-a-box,5w,17,3
histogram,5w,54,3
histogram,20w,16,4
wordcloud,20w,42,4
wordcloud,10w,104,4
topic-in-a-box,20w,78,2
histogram,5w,122,5
wordcloud,5w,26,4
word,10w,38,4
wordcloud,20w,59,3
wordcloud,5w,137,2
wordcloud,10w,197,4
histogram,20w,64,2
histogram,20w,101,4
word,20w,35,4
topic-in-a-box,20w,69,3
histogram,20w,25,4
histogram,20w,50,5
topic-in-a-box,20w,18,3
word,10w,217,4
histogram,10w,56,4
histogram,20w,18,2
word,5w,52,3
topic-in-a-box,10w,24,2
wordcloud,20w,141,4
wordcloud,10w,13,4
histogram,20w,70,4
word,5w,24,4
wordcloud,10w,43,3
word,5w,39,5
topic-in-a-box,20w,48,5
wordcloud,5w,148,3
histogram,10w,13,3
word,5w,23,4
histogram,10w,46,3
word,20w,43,3
topic-in-a-box,5w,41,4
topic-in-a-box,5w,20,2
histogram,5w,35,3
wordcloud,5w,25,3
word,5w,83,4
wordcloud,20w,38,4
wordcloud,5w,30,4
wordcloud,20w,40,3
topic-in-a-box,20w,145,4
wordcloud,10w,23,3
topic-in-a-box,20w,20,3
wordcloud,5w,29,5
word,20w,20,3
word,20w,116,5
histogram,10w,25,4
word,20w,35,4
word,20w,15,3
word,10w,38,4
word,20w,37,3
topic-in-a-box,20w,101,3
histogram,20w,118,3
topic-in-a-box,10w,45,3
wordcloud,10w,39,5
word,5w,25,4
word,5w,39,5
word,20w,24,4
topic-in-a-box,5w,15,1
histogram,10w,21,4
topic-in-a-box,20w,22,4
topic-in-a-box,20w,16,3
topic-in-a-box,20w,64,4
wordcloud,20w,32,5
histogram,20w,33,4
topic-in-a-box,10w,87,4
word,5w,60,4
histogram,10w,35,3
wordcloud,20w,50,4
wordcloud,10w,87,5
wordcloud,20w,318,3
wordcloud,5w,20,4
wordcloud,10w,24,3
wordcloud,10w,53,3
histogram,5w,45,3
topic-in-a-box,5w,21,2
histogram,20w,19,4
word,20w,78,3
word,5w,62,4
wordcloud,20w,21,4
topic-in-a-box,20w,33,4
word,5w,16,5
topic-in-a-box,10w,99,3
topic-in-a-box,10w,41,3
word,10w,13,4
histogram,5w,37,4
histogram,10w,42,2
histogram,5w,59,5
word,10w,18,5
histogram,10w,22,5
topic-in-a-box,5w,33,5
wordcloud,5w,10,4
word,5w,88,3
histogram,10w,17,4
wordcloud,10w,29,3
wordcloud,10w,48,4
wordcloud,5w,22,3
topic-in-a-box,5w,38,4
histogram,20w,19,4
word,5w,19,3
histogram,5w,28,3
histogram,20w,34,4
topic-in-a-box,10w,58,4
wordcloud,5w,131,4
word,5w,14,4
word,20w,40,4
histogram,5w,67,4
word,20w,41,4
word,20w,79,3
wordcloud,20w,71,4
histogram,20w,86,4
wordcloud,5w,51,4
topic-in-a-box,10w,31,4
histogram,20w,33,4
histogram,10w,53,4
topic-in-a-box,20w,96,4
topic-in-a-box,20w,64,2
topic-in-a-box,20w,77,3
histogram,20w,55,4
topic-in-a-box,10w,60,4
histogram,5w,15,5
wordcloud,10w,29,2
topic-in-a-box,20w,72,5
word,10w,25,4
wordcloud,5w,27,4
wordcloud,10w,44,4
histogram,5w,83,5
word,20w,36,3
wordcloud,10w,32,4
wordcloud,5w,80,4
word,5w,13,5
wordcloud,20w,83,4
wordcloud,20w,39,4
word,10w,29,5
wordcloud,20w,42,3
wordcloud,10w,24,4
word,5w,68,1
wordcloud,5w,65,4
wordcloud,10w,15,4
wordcloud,10w,18,2
topic-in-a-box,5w,19,4
wordcloud,10w,38,3
word,20w,53,2
word,20w,42,4
topic-in-a-box,10w,12,4
topic-in-a-box,5w,22,4
word,20w,33,4
topic-in-a-box,20w,52,3
wordcloud,20w,34,3
word,20w,22,4
wordcloud,10w,38,4
word,5w,34,2
wordcloud,10w,20,5
wordcloud,5w,22,4
word,5w,45,3
histogram,5w,34,4
wordcloud,10w,84,2
wordcloud,5w,24,1
histogram,5w,26,3
topic-in-a-box,20w,38,2
wordcloud,10w,54,5
word,5w,33,4
topic-in-a-box,20w,83,4
word,5w,59,2
wordcloud,10w,54,4
wordcloud,5w,13,2
word,10w,17,3
histogram,5w,47,4
wordcloud,20w,47,4
histogram,20w,84,2
wordcloud,10w,123,3
histogram,20w,81,5
wordcloud,20w,184,3
topic-in-a-box,20w,146,4
topic-in-a-box,10w,8,4
topic-in-a-box,10w,149,3
wordcloud,20w,57,1
word,5w,23,5
topic-in-a-box,10w,38,4
histogram,5w,34,3
topic-in-a-box,5w,72,2
word,5w,96,2
wordcloud,20w,51,3
histogram,10w,33,4
word,20w,69,3
wordcloud,20w,136,3
histogram,5w,82,5
word,20w,72,3
wordcloud,5w,23,4
histogram,5w,36,4
histogram,5w,42,4
word,5w,27,3
histogram,5w,22,4
word,5w,34,3
word,5w,22,4
wordcloud,20w,38,4
word,20w,35,4
histogram,20w,27,3
histogram,10w,28,4
word,20w,24,4
topic-in-a-box,5w,31,2
wordcloud,5w,30,4
word,20w,62,4
topic-in-a-box,10w,48,3
histogram,20w,14,4
histogram,20w,31,5
wordcloud,10w,34,4
wordcloud,20w,67,3
wordcloud,5w,50,4
histogram,20w,43,4
wordcloud,10w,27,4
histogram,20w,22,4
histogram,5w,31,3
histogram,5w,40,3
topic-in-a-box,5w,126,2
wordcloud,10w,42,4
wordcloud,10w,121,5
topic-in-a-box,5w,56,4
histogram,10w,52,4
word,20w,30,4
wordcloud,10w,38,4
wordcloud,5w,41,4
wordcloud,5w,45,3
topic-in-a-box,20w,81,3
topic-in-a-box,10w,26,2
word,10w,40,4
topic-in-a-box,5w,31,4
histogram,10w,53,2
word,10w,42,4
word,5w,89,4
topic-in-a-box,5w,304,2
topic-in-a-box,20w,25,4
topic-in-a-box,5w,47,3
histogram,20w,11,4
word,20w,45,3
topic-in-a-box,10w,114,4
wordcloud,5w,48,1
wordcloud,20w,55,3
topic-in-a-box,5w,21,2
word,20w,159,4
histogram,5w,37,4
histogram,20w,81,3
word,5w,29,4
word,5w,21,5
wordcloud,20w,17,4
topic-in-a-box,20w,24,4
topic-in-a-box,10w,19,3
histogram,10w,15,4
word,10w,36,4
topic-in-a-box,10w,40,3
wordcloud,20w,65,3
histogram,20w,59,3
word,10w,30,5
histogram,20w,24,5
topic-in-a-box,10w,72,4
histogram,10w,29,4
wordcloud,5w,149,4
word,5w,44,5
topic-in-a-box,20w,169,3
word,20w,72,1
topic-in-a-box,10w,36,4
histogram,20w,32,3
histogram,20w,29,4
wordcloud,10w,29,4
histogram,5w,151,4
histogram,10w,39,4
histogram,10w,80,4
topic-in-a-box,5w,48,3
word,10w,20,4
topic-in-a-box,10w,32,3
word,10w,24,5
topic-in-a-box,10w,44,4
topic-in-a-box,20w,52,4
word,10w,15,4
histogram,5w,35,4
histogram,10w,61,5
topic-in-a-box,10w,66,4
histogram,5w,156,4
word,5w,90,4
wordcloud,10w,26,3
word,20w,20,3
histogram,20w,153,5
wordcloud,20w,29,4
word,5w,15,2
wordcloud,5w,23,3
word,20w,59,4
wordcloud,20w,31,5
wordcloud,10w,21,3
word,20w,51,5
word,5w,16,3
histogram,10w,29,4
word,10w,28,4
histogram,10w,16,3
histogram,20w,74,4
word,5w,14,3
histogram,20w,54,3
topic-in-a-box,10w,22,5
histogram,5w,32,4
word,20w,82,4
histogram,5w,43,3
topic-in-a-box,5w,21,4
wordcloud,10w,63,4
wordcloud,10w,27,5
histogram,5w,231,4
wordcloud,5w,17,4
topic-in-a-box,5w,114,1
wordcloud,20w,68,5
histogram,10w,33,4
wordcloud,10w,22,4
histogram,5w,30,4
word,5w,361,4
topic-in-a-box,5w,33,4
histogram,20w,72,5
histogram,10w,76,4
word,20w,10,4
histogram,5w,47,4
topic-in-a-box,5w,28,5
histogram,20w,53,3
histogram,5w,27,4
wordcloud,20w,33,4
word,20w,62,4
wordcloud,20w,57,3
wordcloud,5w,28,4
topic-in-a-box,20w,144,3
topic-in-a-box,10w,110,2
wordcloud,20w,440,2
wordcloud,10w,93,4
topic-in-a-box,20w,17,4
topic-in-a-box,5w,58,4
topic-in-a-box,5w,61,3
wordcloud,5w,40,4
histogram,5w,42,2
topic-in-a-box,20w,73,1
topic-in-a-box,5w,48,2
histogram,20w,40,4
topic-in-a-box,10w,91,3
histogram,10w,28,3
histogram,20w,30,4
word,5w,11,4
wordcloud,5w,107,5
topic-in-a-box,5w,54,4
word,20w,142,5
histogram,20w,95,4
wordcloud,10w,20,3
word,5w,38,3
word,10w,5,1
topic-in-a-box,10w,47,5
wordcloud,20w,42,3
topic-in-a-box,10w,120,5
wordcloud,5w,32,3
word,10w,41,4
wordcloud,10w,19,3
histogram,20w,85,5
word,5w,148,3
topic-in-a-box,5w,19,3
topic-in-a-box,10w,106,2
histogram,5w,41,4
word,20w,23,3
wordcloud,20w,9,4
histogram,20w,97,4
topic-in-a-box,10w,47,3
wordcloud,20w,179,3
topic-in-a-box,20w,45,4
topic-in-a-box,10w,65,4
wordcloud,10w,24,3
wordcloud,20w,31,3
topic-in-a-box,10w,46,4
histogram,10w,65,5
histogram,10w,39,4
word,20w,41,4
histogram,20w,61,4
wordcloud,5w,126,5
histogram,10w,51,5
histogram,20w,69,4
histogram,10w,145,4
word,10w,21,4
histogram,5w,138,3
histogram,5w,22,4
wordcloud,10w,13,3
wordcloud,5w,20,2
word,20w,18,2
topic-in-a-box,20w,63,4
word,10w,191,3
topic-in-a-box,20w,51,4
histogram,10w,13,3
word,20w,40,5
histogram,10w,78,5
histogram,10w,68,4
word,5w,31,3
topic-in-a-box,20w,66,3
histogram,10w,27,2
histogram,5w,19,4
topic-in-a-box,5w,24,4
topic-in-a-box,5w,32,3
word,5w,44,2
word,20w,25,4
word,10w,16,3
wordcloud,20w,91,4
topic-in-a-box,10w,27,2
word,20w,27,3
histogram,10w,80,4
histogram,5w,50,5
topic-in-a-box,10w,33,3
topic-in-a-box,10w,42,4
topic-in-a-box,5w,30,3
histogram,10w,27,2
word,20w,51,5
word,5w,48,2
word,5w,27,3
topic-in-a-box,5w,57,4
word,20w,50,3
topic-in-a-box,20w,48,3
histogram,5w,34,2
wordcloud,10w,38,5
histogram,20w,101,4
wordcloud,5w,33,3
histogram,20w,63,5
topic-in-a-box,5w,37,4
histogram,5w,29,4
word,10w,39,4
topic-in-a-box,5w,41,4
topic-in-a-box,5w,19,3
topic-in-a-box,20w,43,4
wordcloud,10w,63,4
histogram,10w,58,3
topic-in-a-box,10w,64,1
histogram,20w,178,5
histogram,10w,15,4
word,10w,29,3
wordcloud,10w,31,4
word,20w,15,3
word,10w,36,3
word,10w,56,4
topic-in-a-box,20w,34,4
topic-in-a-box,20w,49,4
topic-in-a-box,20w,29,3
word,10w,102,3
wordcloud,20w,43,4
histogram,5w,52,4
word,5w,75,4
histogram,10w,68,4
wordcloud,10w,103,4
wordcloud,10w,33,4
topic-in-a-box,10w,63,2
word,20w,63,4
wordcloud,5w,28,2
wordcloud,10w,17,4
topic-in-a-box,20w,91,3
word,5w,92,5
word,5w,48,2
wordcloud,10w,64,4
histogram,20w,54,4
wordcloud,20w,44,4
topic-in-a-box,5w,29,1
topic-in-a-box,10w,31,4
topic-in-a-box,10w,23,2
histogram,5w,29,2
wordcloud,10w,37,3
wordcloud,10w,33,3
wordcloud,20w,34,5
histogram,5w,32,4
topic-in-a-box,20w,46,5
wordcloud,10w,20,4
topic-in-a-box,5w,98,5
word,5w,13,4
histogram,20w,26,3
word,10w,49,5
topic-in-a-box,20w,40,5
topic-in-a-box,10w,42,3
topic-in-a-box,5w,26,4
topic-in-a-box,10w,34,2
word,5w,56,4
wordcloud,20w,58,3
wordcloud,20w,54,3
topic-in-a-box,5w,30,2
topic-in-a-box,20w,33,5
topic-in-a-box,5w,45,4
wordcloud,5w,19,5
wordcloud,10w,51,4
topic-in-a-box,10w,90,3
histogram,10w,59,4
topic-in-a-box,20w,56,4
wordcloud,5w,50,2
word,10w,13,4
wordcloud,10w,38,1
topic-in-a-box,10w,89,4
topic-in-a-box,5w,20,4
histogram,5w,48,3
histogram,10w,44,5
word,5w,69,3
wordcloud,10w,37,3
wordcloud,20w,117,3
wordcloud,5w,32,3
topic-in-a-box,20w,24,3
word,10w,27,4
topic-in-a-box,10w,7,4
topic-in-a-box,10w,39,5
histogram,10w,40,4
topic-in-a-box,5w,38,4
topic-in-a-box,20w,43,5
histogram,20w,20,4
word,5w,91,4
topic-in-a-box,20w,57,2
word,20w,40,3
histogram,20w,48,4
wordcloud,20w,93,4
wordcloud,5w,209,2
histogram,20w,51,2
wordcloud,20w,75,4
histogram,20w,21,3
histogram,10w,67,3
topic-in-a-box,20w,91,4
word,10w,245,4
word,10w,23,4
wordcloud,10w,62,3
wordcloud,5w,6,4
histogram,20w,44,2
wordcloud,5w,49,4
topic-in-a-box,10w,38,3
topic-in-a-box,5w,22,3
topic-in-a-box,5w,78,3
word,20w,53,3
topic-in-a-box,20w,63,4
topic-in-a-box,10w,34,4
topic-in-a-box,20w,182,4
histogram,5w,18,4
histogram,5w,76,3
histogram,5w,26,5
topic-in-a-box,5w,34,3
topic-in-a-box,10w,21,3
word,10w,52,4
histogram,10w,57,3
histogram,10w,22,4
word,20w,44,4
histogram,5w,33,2
wordcloud,10w,59,3
wordcloud,10w,45,3
word,5w,19,3
histogram,10w,12,5
wordcloud,20w,63,5
wordcloud,10w,14,4
histogram,10w,71,3
topic-in-a-box,5w,332,4
wordcloud,20w,77,4
histogram,20w,89,4
histogram,5w,46,4
word,5w,33,5
word,10w,17,4
wordcloud,20w,138,4
wordcloud,10w,33,2
word,20w,53,4
topic-in-a-box,5w,51,4
word,20w,23,5
topic-in-a-box,10w,41,4
wordcloud,20w,30,5
wordcloud,5w,129,4
wordcloud,10w,30,1
word,20w,32,4
wordcloud,5w,47,3
histogram,20w,40,3
word,10w,39,4
topic-in-a-box,10w,66,3
word,5w,54,4
word,5w,68,4
word,10w,20,4
wordcloud,5w,25,4
histogram,5w,230,4
topic-in-a-box,5w,78,4
topic-in-a-box,5w,41,3
wordcloud,10w,50,4
wordcloud,20w,25,5
histogram,20w,37,3
topic-in-a-box,10w,44,3
word,10w,274,4
wordcloud,20w,16,4
histogram,10w,161,4
histogram,20w,43,4
topic-in-a-box,5w,23,5
wordcloud,5w,31,3
topic-in-a-box,5w,37,5
topic-in-a-box,20w,37,4
wordcloud,20w,80,4
topic-in-a-box,5w,90,2
wordcloud,20w,34,4
wordcloud,20w,119,5
wordcloud,20w,65,5
word,20w,46,4
topic-in-a-box,5w,28,4
topic-in-a-box,20w,41,5
topic-in-a-box,5w,52,2
topic-in-a-box,20w,192,3
topic-in-a-box,20w,109,3
topic-in-a-box,20w,27,4
histogram,20w,46,4
word,5w,77,4
wordcloud,10w,142,2
topic-in-a-box,20w,71,4
word,10w,62,5
wordcloud,5w,61,4
topic-in-a-box,10w,50,4
histogram,10w,48,4
topic-in-a-box,5w,38,4
wordcloud,10w,22,4
topic-in-a-box,20w,79,3
word,20w,41,4
topic-in-a-box,5w,59,3
word,20w,46,5
topic-in-a-box,20w,21,3
topic-in-a-box,10w,50,4
histogram,10w,21,3
wordcloud,10w,54,2
word,10w,49,4
topic-in-a-box,5w,38,5
topic-in-a-box,20w,53,4
wordcloud,20w,39,4
wordcloud,20w,99,5
topic-in-a-box,10w,40,3
wordcloud,5w,30,3
topic-in-a-box,20w,43,4
histogram,10w,52,3
word,10w,28,3
topic-in-a-box,5w,20,3
word,10w,63,5
wordcloud,5w,62,4
word,5w,33,3
topic-in-a-box,5w,49,2
topic-in-a-box,10w,54,4
histogram,20w,34,4
word,5w,57,3
word,10w,49,3
wordcloud,10w,46,4
topic-in-a-box,20w,85,4
word,20w,39,4
histogram,5w,54,2
histogram,10w,34,5
wordcloud,20w,81,4
histogram,10w,66,4
topic-in-a-box,10w,20,4
histogram,20w,36,4
wordcloud,10w,42,3
histogram,10w,70,4
wordcloud,5w,37,4
word,5w,14,4
topic-in-a-box,20w,98,3
histogram,10w,18,4
word,20w,39,4
word,10w,38,4
word,20w,43,1
histogram,20w,29,3
histogram,20w,20,4
wordcloud,20w,53,4
wordcloud,10w,12,4
histogram,10w,52,4
histogram,20w,200,4
topic-in-a-box,10w,16,4
histogram,20w,16,4
topic-in-a-box,5w,48,2
histogram,10w,45,2
wordcloud,20w,31,4
histogram,5w,54,3
histogram,5w,74,3
histogram,20w,33,5
topic-in-a-box,20w,72,3
topic-in-a-box,10w,196,3
word,10w,42,5
wordcloud,10w,19,4
histogram,20w,113,4
wordcloud,20w,54,4
word,20w,79,5
topic-in-a-box,10w,93,4
topic-in-a-box,10w,86,2
histogram,10w,122,3
histogram,20w,234,2
topic-in-a-box,5w,84,4
topic-in-a-box,10w,25,5
word,20w,99,5
topic-in-a-box,5w,174,5
histogram,10w,198,2
wordcloud,20w,20,4
topic-in-a-box,5w,131,4
histogram,10w,46,2
histogram,10w,25,4
wordcloud,10w,41,2
wordcloud,5w,20,3
wordcloud,20w,85,4
wordcloud,10w,37,5
wordcloud,5w,41,4
topic-in-a-box,10w,42,4
word,10w,22,2
topic-in-a-box,5w,40,2
wordcloud,5w,174,2
histogram,5w,27,5
histogram,5w,28,3
histogram,20w,19,3
word,5w,62,4
topic-in-a-box,10w,13,2
wordcloud,5w,293,2
histogram,10w,51,3
histogram,10w,25,2
topic-in-a-box,5w,62,3
topic-in-a-box,5w,41,4
topic-in-a-box,5w,19,4
word,20w,22,5
topic-in-a-box,5w,68,4
topic-in-a-box,10w,42,3
word,5w,25,4
histogram,10w,73,4
word,20w,113,2
word,20w,27,4
topic-in-a-box,20w,87,4
word,5w,47,4
wordcloud,20w,97,4
word,5w,30,4
wordcloud,5w,32,3
wordcloud,20w,51,4
histogram,20w,78,4
word,5w,31,4
word,20w,69,4
histogram,20w,55,4
wordcloud,5w,53,2
histogram,10w,32,4
word,10w,98,5
word,20w,22,5
word,5w,52,5
word,20w,42,4
word,10w,97,4
histogram,20w,46,4
topic-in-a-box,20w,41,4
word,10w,2,1
histogram,10w,25,4
wordcloud,10w,25,4
word,10w,19,5
wordcloud,20w,47,4
wordcloud,10w,29,4
word,10w,79,4
topic-in-a-box,20w,42,5
word,10w,50,4
topic-in-a-box,20w,44,4
word,10w,14,4
histogram,10w,88,2
topic-in-a-box,5w,67,3
wordcloud,20w,40,5
topic-in-a-box,20w,25,2
histogram,20w,72,2
word,10w,84,3
wordcloud,20w,66,4
topic-in-a-box,10w,19,3
wordcloud,20w,126,4
histogram,10w,16,4
word,20w,40,2
wordcloud,5w,31,4
word,5w,38,4
wordcloud,10w,81,3
word,20w,40,3
histogram,10w,23,4
word,10w,77,4
topic-in-a-box,10w,36,3
word,20w,77,2
wordcloud,10w,29,4
wordcloud,5w,35,2
word,5w,11,4
topic-in-a-box,5w,51,4
word,5w,18,4
wordcloud,5w,26,4
wordcloud,10w,33,4
wordcloud,20w,29,4
histogram,20w,358,3
word,20w,28,5
wordcloud,10w,16,3
word,20w,10,3
wordcloud,10w,81,4
wordcloud,20w,77,4
topic-in-a-box,10w,19,4
histogram,10w,34,4
wordcloud,20w,38,5
topic-in-a-box,20w,72,4
wordcloud,5w,48,4
wordcloud,10w,16,4
histogram,20w,43,5
wordcloud,5w,43,5
topic-in-a-box,5w,31,5
topic-in-a-box,10w,39,4
wordcloud,20w,36,4
topic-in-a-box,10w,34,3
wordcloud,20w,28,3
wordcloud,10w,115,5
topic-in-a-box,10w,20,4
histogram,20w,15,4
histogram,20w,29,4
word,5w,104,4
wordcloud,5w,45,5
wordcloud,10w,38,2
topic-in-a-box,10w,47,5
topic-in-a-box,10w,94,4
histogram,10w,70,5
histogram,10w,56,4
topic-in-a-box,5w,24,4
histogram,5w,514,3
histogram,20w,30,4
wordcloud,10w,57,3
topic-in-a-box,10w,118,3
histogram,10w,46,4
topic-in-a-box,5w,29,3
wordcloud,20w,60,4
histogram,20w,29,3
word,20w,17,5
wordcloud,5w,28,3
wordcloud,10w,29,3
topic-in-a-box,10w,74,2
word,20w,55,1
word,10w,90,4
histogram,20w,30,4
word,10w,65,3
histogram,5w,38,4
word,10w,27,5
wordcloud,5w,56,4
wordcloud,10w,76,4
topic-in-a-box,10w,68,3
word,10w,82,2
word,20w,9,4
topic-in-a-box,5w,25,3
topic-in-a-box,10w,51,4
topic-in-a-box,10w,31,5
wordcloud,5w,38,5
topic-in-a-box,20w,28,5
word,20w,39,1
wordcloud,20w,30,4
topic-in-a-box,10w,26,4
topic-in-a-box,5w,25,4
topic-in-a-box,5w,108,5
word,10w,88,5
word,20w,68,4
word,20w,88,3
wordcloud,10w,22,2
histogram,5w,27,4
word,20w,36,2
histogram,5w,73,4
histogram,20w,51,4
topic-in-a-box,10w,44,4
word,10w,44,4
topic-in-a-box,20w,62,4
histogram,20w,48,2
word,5w,40,4
topic-in-a-box,20w,58,4
topic-in-a-box,5w,28,4
wordcloud,20w,65,4
word,10w,82,3
topic-in-a-box,20w,77,4
wordcloud,20w,21,5
topic-in-a-box,10w,38,4
wordcloud,10w,154,4
word,10w,111,4
word,20w,63,4
word,20w,46,5
word,5w,56,5
word,5w,19,5
wordcloud,10w,66,3
word,5w,132,3
topic-in-a-box,20w,64,4
word,20w,62,3
histogram,5w,55,4
word,10w,52,3
topic-in-a-box,10w,25,4
topic-in-a-box,20w,47,5
topic-in-a-box,5w,17,4
wordcloud,20w,91,4
word,20w,51,4
wordcloud,5w,26,3
wordcloud,10w,21,3
wordcloud,10w,6,3
histogram,5w,34,5
topic-in-a-box,20w,130,2
histogram,5w,115,5
histogram,20w,30,4
wordcloud,20w,16,4
word,5w,15,4
word,5w,44,3
topic-in-a-box,20w,67,5
topic-in-a-box,5w,36,1
topic-in-a-box,10w,121,3
histogram,10w,34,3
wordcloud,10w,38,3
histogram,10w,48,3
topic-in-a-box,5w,46,1
histogram,5w,51,4
topic-in-a-box,10w,39,3
histogram,5w,45,4
word,10w,14,1
histogram,5w,24,2
wordcloud,20w,70,4
word,20w,161,5
word,5w,35,4
word,20w,80,4
wordcloud,20w,19,4
topic-in-a-box,5w,20,4
histogram,10w,39,4
histogram,5w,16,4
histogram,10w,39,2
wordcloud,5w,44,4
wordcloud,20w,62,3
wordcloud,20w,28,4
topic-in-a-box,20w,141,3
topic-in-a-box,10w,22,4
word,20w,36,5
word,10w,68,3
word,5w,14,4
word,10w,28,2
word,5w,44,4
topic-in-a-box,10w,25,4
word,20w,67,4
wordcloud,10w,67,3
wordcloud,5w,25,3
word,20w,143,2
wordcloud,10w,89,4
wordcloud,10w,28,4
wordcloud,5w,39,3
histogram,5w,164,4
word,5w,40,5
wordcloud,5w,47,4
histogram,5w,36,4
wordcloud,10w,36,4
wordcloud,20w,64,5
histogram,20w,23,4
topic-in-a-box,20w,46,5
histogram,10w,52,5
wordcloud,10w,30,3
topic-in-a-box,5w,50,4
histogram,5w,38,4
topic-in-a-box,20w,229,4
topic-in-a-box,10w,44,3
histogram,5w,53,4
word,10w,55,4
topic-in-a-box,20w,98,3
histogram,5w,42,3
wordcloud,5w,50,5
