visualization,cardinality,time,confidence
topic-in-a-box,10w,51,5
word,10w,53,4
word,10w,72,4
wordcloud,20w,183,4
topic-in-a-box,5w,48,4
word,5w,11,4
wordcloud,20w,28,3
topic-in-a-box,10w,81,3
histogram,20w,45,4
word,10w,23,4
word,20w,44,4
word,20w,45,4
topic-in-a-box,5w,45,5
wordcloud,5w,16,3
word,10w,25,3
histogram,5w,29,4
topic-in-a-box,5w,118,2
topic-in-a-box,5w,15,4
topic-in-a-box,20w,49,4
histogram,20w,31,4
histogram,10w,35,1
topic-in-a-box,20w,26,4
word,20w,63,4
topic-in-a-box,20w,34,2
wordcloud,5w,75,5
topic-in-a-box,5w,36,2
topic-in-a-box,5w,43,3
wordcloud,10w,19,3
histogram,10w,27,4
histogram,5w,45,4
histogram,5w,25,3
topic-in-a-box,10w,40,4
topic-in-a-box,5w,38,4
wordcloud,5w,31,3
topic-in-a-box,20w,24,3
topic-in-a-box,10w,63,3
topic-in-a-box,20w,151,4
histogram,10w,37,3
wordcloud,10w,27,4
histogram,20w,61,4
wordcloud,20w,130,3
histogram,10w,22,3
topic-in-a-box,5w,17,4
wordcloud,20w,105,3
word,10w,21,3
wordcloud,20w,466,3
histogram,5w,67,4
wordcloud,20w,29,4
histogram,20w,30,4
topic-in-a-box,10w,39,1
wordcloud,10w,48,2
word,5w,158,4
histogram,20w,44,2
histogram,5w,43,1
histogram,10w,112,2
word,20w,73,4
word,10w,78,3
histogram,5w,17,4
wordcloud,5w,17,5
word,5w,161,2
histogram,10w,105,4
word,20w,83,2
wordcloud,20w,51,4
word,20w,48,2
topic-in-a-box,20w,50,4
histogram,20w,47,4
histogram,5w,40,4
wordcloud,10w,29,3
wordcloud,5w,73,4
wordcloud,10w,32,4
wordcloud,10w,28,3
histogram,10w,43,3
word,5w,23,4
wordcloud,20w,39,3
word,10w,59,3
word,10w,99,2
topic-in-a-box,10w,65,3
word,5w,15,3
topic-in-a-box,5w,37,2
histogram,10w,39,4
topic-in-a-box,20w,48,4
wordcloud,5w,22,3
histogram,20w,30,4
word,5w,19,4
histogram,20w,56,3
word,5w,92,5
histogram,5w,43,3
wordcloud,5w,22,3
wordcloud,10w,135,3
word,5w,20,3
wordcloud,20w,46,2
word,5w,21,5
wordcloud,20w,13,2
word,5w,33,4
wordcloud,10w,37,3
wordcloud,20w,52,3
topic-in-a-box,5w,48,4
word,20w,37,3
histogram,10w,93,4
histogram,5w,189,3
word,20w,61,4
histogram,20w,44,4
wordcloud,5w,32,2
histogram,5w,30,1
word,10w,21,3
word,20w,21,5
wordcloud,5w,7,4
histogram,5w,127,3
topic-in-a-box,10w,107,3
wordcloud,20w,16,5
histogram,20w,34,4
wordcloud,10w,52,2
histogram,5w,25,5
word,20w,65,3
topic-in-a-box,20w,16,4
topic-in-a-box,10w,39,4
word,10w,114,2
histogram,20w,163,4
wordcloud,20w,50,4
topic-in-a-box,20w,24,4
word,10w,140,4
word,5w,24,4
histogram,10w,22,5
word,20w,26,5
topic-in-a-box,5w,19,4
word,5w,50,4
word,5w,31,4
wordcloud,5w,41,3
histogram,20w,83,3
topic-in-a-box,20w,21,3
histogram,10w,144,4
wordcloud,10w,26,4
topic-in-a-box,20w,53,4
topic-in-a-box,20w,217,3
histogram,5w,19,4
wordcloud,5w,84,2
histogram,5w,143,5
word,10w,37,4
topic-in-a-box,5w,60,5
histogram,10w,119,4
wordcloud,20w,26,4
topic-in-a-box,5w,36,4
histogram,20w,81,2
wordcloud,5w,54,2
histogram,5w,46,5
topic-in-a-box,20w,35,4
wordcloud,5w,16,5
wordcloud,5w,49,4
histogram,20w,219,4
wordcloud,10w,35,1
word,20w,87,3
wordcloud,5w,36,5
wordcloud,10w,20,4
topic-in-a-box,10w,29,4
word,20w,33,4
histogram,20w,53,5
histogram,20w,65,2
topic-in-a-box,10w,30,4
histogram,20w,117,3
wordcloud,20w,222,4
topic-in-a-box,10w,775,2
histogram,10w,44,4
wordcloud,10w,42,2
word,10w,30,4
histogram,20w,37,4
word,20w,37,4
histogram,20w,44,5
wordcloud,10w,46,3
topic-in-a-box,10w,36,4
topic-in-a-box,20w,30,5
wordcloud,20w,53,4
wordcloud,10w,64,4
histogram,10w,31,4
histogram,5w,117,4
word,10w,39,4
topic-in-a-box,10w,137,4
histogram,10w,25,4
histogram,5w,68,3
wordcloud,5w,33,3
wordcloud,20w,29,4
word,10w,24,3
histogram,20w,-3485,3
wordcloud,20w,86,5
word,5w,186,4
histogram,5w,47,4
topic-in-a-box,20w,9,4
wordcloud,20w,56,3
histogram,20w,20,2
wordcloud,20w,7,4
word,20w,20,5
word,20w,38,2
word,10w,91,4
topic-in-a-box,20w,24,4
histogram,5w,27,4
histogram,20w,55,4
wordcloud,20w,122,1
word,10w,27,2
wordcloud,10w,31,4
topic-in-a-box,10w,47,4
word,10w,76,4
topic-in-a-box,20w,81,3
topic-in-a-box,10w,72,5
word,20w,29,3
wordcloud,10w,28,4
histogram,5w,24,4
wordcloud,5w,22,4
word,10w,28,4
word,20w,33,5
wordcloud,20w,23,3
histogram,5w,17,4
wordcloud,20w,83,4
wordcloud,20w,28,3
histogram,10w,98,2
word,10w,14,5
histogram,5w,63,4
topic-in-a-box,5w,71,3
wordcloud,20w,30,3
wordcloud,5w,43,4
wordcloud,5w,17,4
wordcloud,10w,34,4
word,20w,56,4
histogram,20w,43,4
histogram,10w,25,4
topic-in-a-box,5w,35,1
topic-in-a-box,10w,10,4
wordcloud,5w,107,2
histogram,10w,53,3
topic-in-a-box,10w,72,4
histogram,20w,31,4
wordcloud,5w,173,4
topic-in-a-box,20w,69,3
histogram,5w,31,2
topic-in-a-box,20w,79,5
word,10w,39,5
word,10w,19,3
topic-in-a-box,5w,25,4
topic-in-a-box,10w,14,3
word,10w,11,3
word,20w,104,4
word,20w,16,3
histogram,10w,21,3
topic-in-a-box,10w,31,4
topic-in-a-box,10w,57,4
word,10w,43,5
topic-in-a-box,20w,24,4
topic-in-a-box,5w,56,5
wordcloud,5w,52,4
wordcloud,20w,51,5
topic-in-a-box,10w,41,3
word,10w,12,4
topic-in-a-box,5w,36,4
word,5w,69,4
word,10w,61,5
topic-in-a-box,10w,79,4
topic-in-a-box,20w,39,5
wordcloud,5w,34,3
wordcloud,20w,64,4
topic-in-a-box,5w,41,2
word,5w,40,4
topic-in-a-box,10w,25,4
histogram,10w,21,2
word,5w,33,2
word,20w,16,4
word,10w,134,4
histogram,5w,48,4
histogram,10w,45,3
wordcloud,20w,39,4
word,5w,17,4
word,5w,44,4
topic-in-a-box,20w,44,4
histogram,5w,68,4
histogram,20w,100,3
word,5w,75,5
wordcloud,20w,56,2
wordcloud,20w,20,4
histogram,20w,37,5
word,20w,19,3
topic-in-a-box,10w,70,4
histogram,20w,22,3
topic-in-a-box,10w,30,4
topic-in-a-box,10w,42,4
wordcloud,5w,58,3
histogram,5w,86,3
histogram,5w,74,2
word,20w,14,5
word,10w,35,3
histogram,20w,22,4
wordcloud,5w,70,3
topic-in-a-box,5w,17,4
wordcloud,10w,71,4
word,10w,13,4
topic-in-a-box,10w,43,4
histogram,10w,117,4
word,20w,40,4
topic-in-a-box,5w,33,3
topic-in-a-box,10w,43,4
topic-in-a-box,5w,30,3
word,5w,46,4
word,20w,21,4
wordcloud,10w,29,4
wordcloud,5w,209,3
wordcloud,10w,43,3
histogram,5w,27,4
word,20w,49,4
histogram,20w,59,4
wordcloud,10w,60,3
wordcloud,10w,23,3
wordcloud,20w,73,5
histogram,10w,147,3
topic-in-a-box,20w,95,5
topic-in-a-box,5w,37,4
wordcloud,10w,23,3
histogram,10w,29,4
word,5w,19,5
histogram,5w,35,3
wordcloud,20w,34,2
wordcloud,20w,17,4
histogram,5w,25,4
histogram,10w,33,3
histogram,5w,29,4
word,10w,28,5
word,20w,26,4
wordcloud,5w,62,5
wordcloud,10w,50,5
topic-in-a-box,5w,26,4
histogram,5w,130,3
histogram,10w,67,2
topic-in-a-box,20w,123,3
word,20w,132,3
word,5w,77,4
topic-in-a-box,10w,81,3
histogram,5w,48,4
topic-in-a-box,5w,75,5
wordcloud,10w,17,2
word,20w,30,3
topic-in-a-box,5w,67,2
histogram,20w,220,5
wordcloud,10w,83,5
wordcloud,5w,34,4
histogram,5w,43,2
word,20w,14,4
histogram,5w,643,4
word,5w,48,2
topic-in-a-box,10w,16,4
histogram,10w,70,4
topic-in-a-box,10w,39,4
word,20w,59,4
word,10w,51,2
histogram,20w,34,2
word,20w,9,4
word,20w,19,3
histogram,20w,12,3
histogram,5w,36,3
topic-in-a-box,10w,26,4
word,10w,136,4
wordcloud,20w,29,4
topic-in-a-box,5w,42,4
topic-in-a-box,10w,46,5
histogram,5w,32,4
wordcloud,10w,129,3
wordcloud,10w,55,4
histogram,10w,88,4
word,10w,127,2
histogram,20w,75,4
topic-in-a-box,20w,89,3
word,5w,29,4
histogram,5w,29,4
topic-in-a-box,5w,82,4
word,20w,21,3
word,20w,15,4
histogram,20w,46,4
wordcloud,10w,42,2
histogram,20w,91,3
topic-in-a-box,10w,34,4
wordcloud,20w,100,2
topic-in-a-box,10w,45,5
histogram,5w,31,3
wordcloud,5w,70,3
wordcloud,10w,21,5
word,5w,53,2
histogram,10w,94,3
topic-in-a-box,20w,97,3
histogram,20w,139,3
topic-in-a-box,10w,38,4
word,5w,233,3
wordcloud,10w,83,3
topic-in-a-box,10w,157,2
topic-in-a-box,5w,111,3
topic-in-a-box,10w,21,5
word,10w,61,4
wordcloud,10w,64,4
topic-in-a-box,10w,78,3
histogram,20w,47,3
topic-in-a-box,10w,69,2
histogram,10w,49,3
topic-in-a-box,20w,275,4
histogram,10w,250,4
word,20w,95,2
histogram,20w,31,5
wordcloud,5w,58,3
topic-in-a-box,5w,29,4
wordcloud,10w,18,5
topic-in-a-box,5w,35,4
histogram,10w,49,4
word,20w,20,4
topic-in-a-box,20w,24,4
topic-in-a-box,10w,33,3
histogram,5w,21,4
histogram,5w,22,4
wordcloud,10w,20,4
wordcloud,20w,69,4
histogram,5w,24,4
word,10w,38,2
wordcloud,5w,27,3
histogram,5w,21,4
wordcloud,20w,45,4
wordcloud,10w,41,4
wordcloud,5w,23,4
word,5w,44,3
topic-in-a-box,20w,111,3
topic-in-a-box,10w,220,3
topic-in-a-box,5w,23,3
histogram,5w,33,5
wordcloud,10w,42,3
histogram,20w,98,4
topic-in-a-box,10w,57,4
wordcloud,20w,50,4
wordcloud,20w,60,5
word,20w,37,3
wordcloud,10w,46,3
wordcloud,10w,49,5
word,5w,144,3
wordcloud,10w,64,3
wordcloud,20w,84,2
topic-in-a-box,20w,26,4
word,5w,38,3
wordcloud,10w,253,4
word,5w,30,3
topic-in-a-box,5w,77,4
topic-in-a-box,5w,52,5
topic-in-a-box,20w,81,4
histogram,5w,29,2
histogram,5w,142,3
histogram,5w,76,4
topic-in-a-box,20w,32,3
word,5w,37,4
topic-in-a-box,5w,86,4
wordcloud,5w,41,3
word,10w,32,3
wordcloud,10w,86,4
wordcloud,10w,62,4
histogram,10w,132,3
word,10w,55,3
histogram,10w,51,4
wordcloud,10w,65,3
topic-in-a-box,10w,45,5
topic-in-a-box,10w,112,4
topic-in-a-box,10w,38,2
wordcloud,10w,68,4
word,10w,36,3
histogram,5w,116,2
histogram,20w,71,2
topic-in-a-box,10w,50,3
histogram,5w,62,4
word,5w,23,5
wordcloud,10w,19,3
wordcloud,5w,19,4
wordcloud,20w,47,3
histogram,5w,44,4
word,20w,14,4
wordcloud,10w,23,4
histogram,20w,124,4
word,5w,56,1
word,10w,49,5
topic-in-a-box,10w,15,4
histogram,5w,41,4
wordcloud,10w,23,5
histogram,20w,53,3
word,5w,51,3
wordcloud,20w,37,4
wordcloud,20w,26,3
word,20w,22,3
wordcloud,10w,32,4
wordcloud,5w,60,2
histogram,5w,43,5
word,5w,36,4
topic-in-a-box,20w,84,4
wordcloud,20w,26,4
histogram,10w,15,4
wordcloud,20w,59,4
topic-in-a-box,20w,35,5
histogram,10w,113,3
word,10w,14,3
word,5w,86,4
wordcloud,5w,58,2
histogram,5w,18,5
wordcloud,20w,25,3
wordcloud,5w,21,5
word,10w,86,2
wordcloud,10w,21,4
topic-in-a-box,20w,53,3
word,20w,35,4
word,5w,20,2
wordcloud,5w,16,3
wordcloud,10w,80,3
word,5w,15,4
word,20w,15,4
wordcloud,10w,34,4
topic-in-a-box,20w,61,2
topic-in-a-box,20w,31,4
histogram,10w,32,3
wordcloud,10w,30,3
histogram,5w,17,2
word,10w,18,4
histogram,10w,30,4
topic-in-a-box,5w,17,4
word,10w,32,4
topic-in-a-box,10w,27,4
histogram,10w,141,2
topic-in-a-box,5w,483,4
wordcloud,5w,24,3
histogram,10w,21,3
topic-in-a-box,10w,18,4
word,20w,82,1
histogram,20w,37,4
topic-in-a-box,5w,43,3
word,10w,24,4
wordcloud,5w,41,4
histogram,10w,26,3
topic-in-a-box,20w,103,3
histogram,20w,46,4
topic-in-a-box,20w,26,3
word,5w,40,5
word,5w,80,4
wordcloud,10w,6,4
histogram,10w,62,4
histogram,5w,20,5
wordcloud,20w,29,5
wordcloud,10w,60,3
wordcloud,10w,34,4
word,5w,136,3
histogram,10w,64,4
wordcloud,5w,40,5
histogram,10w,33,3
word,20w,52,1
histogram,20w,77,4
topic-in-a-box,10w,32,3
topic-in-a-box,20w,68,4
word,10w,64,4
topic-in-a-box,5w,37,4
topic-in-a-box,5w,62,3
histogram,5w,23,4
wordcloud,20w,44,4
histogram,10w,31,5
word,10w,52,5
wordcloud,5w,205,4
histogram,5w,59,4
wordcloud,5w,81,3
histogram,20w,53,4
wordcloud,10w,31,4
wordcloud,5w,27,1
topic-in-a-box,20w,158,3
wordcloud,20w,88,1
wordcloud,20w,47,3
wordcloud,10w,40,3
histogram,20w,107,4
histogram,5w,27,4
wordcloud,20w,11,3
wordcloud,10w,44,4
histogram,10w,137,4
word,20w,52,2
word,10w,57,3
wordcloud,5w,52,5
word,5w,38,4
wordcloud,5w,61,4
topic-in-a-box,20w,94,5
word,10w,33,3
wordcloud,20w,120,4
histogram,5w,48,4
histogram,20w,63,3
histogram,20w,19,4
histogram,5w,49,2
word,10w,39,4
word,20w,37,3
topic-in-a-box,10w,37,3
topic-in-a-box,20w,65,4
topic-in-a-box,10w,22,3
word,5w,59,4
wordcloud,20w,87,3
topic-in-a-box,5w,84,3
word,20w,372,4
word,10w,28,4
histogram,20w,26,4
wordcloud,10w,50,2
wordcloud,20w,47,4
wordcloud,20w,63,3
topic-in-a-box,10w,46,4
histogram,10w,56,4
histogram,10w,86,4
word,20w,102,4
word,10w,73,4
wordcloud,5w,29,4
histogram,10w,51,4
word,20w,48,4
histogram,20w,41,3
wordcloud,5w,34,5
topic-in-a-box,5w,65,5
histogram,10w,43,3
word,5w,45,2
histogram,20w,38,3
topic-in-a-box,20w,96,4
wordcloud,5w,205,4
word,10w,13,4
topic-in-a-box,5w,42,3
word,10w,9,5
wordcloud,5w,41,3
word,5w,12,3
word,20w,38,3
word,10w,200,4
wordcloud,20w,71,4
topic-in-a-box,20w,58,4
topic-in-a-box,5w,89,3
topic-in-a-box,5w,38,3
histogram,5w,26,5
word,20w,51,4
wordcloud,5w,25,5
topic-in-a-box,10w,29,3
histogram,10w,43,3
histogram,20w,242,4
wordcloud,5w,78,4
topic-in-a-box,10w,55,3
word,20w,47,2
wordcloud,10w,52,4
word,10w,81,4
word,20w,31,3
topic-in-a-box,20w,154,3
word,10w,84,3
histogram,10w,46,4
histogram,5w,90,1
word,20w,29,3
topic-in-a-box,20w,30,2
histogram,5w,15,3
word,10w,23,4
topic-in-a-box,10w,62,4
word,5w,48,5
wordcloud,5w,91,2
wordcloud,5w,83,3
topic-in-a-box,5w,48,2
word,5w,80,4
topic-in-a-box,5w,58,4
wordcloud,5w,45,4
word,20w,83,3
topic-in-a-box,5w,94,5
topic-in-a-box,20w,126,3
word,5w,53,4
histogram,20w,28,4
wordcloud,5w,42,4
topic-in-a-box,20w,74,3
histogram,20w,23,4
wordcloud,10w,45,2
wordcloud,5w,53,5
wordcloud,5w,89,4
word,20w,19,4
topic-in-a-box,10w,21,2
wordcloud,10w,135,2
topic-in-a-box,5w,46,4
wordcloud,5w,22,3
topic-in-a-box,5w,46,3
histogram,5w,51,3
word,5w,34,4
topic-in-a-box,10w,94,3
word,20w,84,4
wordcloud,20w,55,4
topic-in-a-box,10w,19,4
wordcloud,5w,168,4
word,10w,46,4
word,20w,87,3
word,10w,16,4
topic-in-a-box,5w,46,3
word,10w,12,5
word,20w,43,4
word,20w,72,3
histogram,5w,24,5
histogram,5w,49,4
word,10w,4,1
word,10w,29,4
topic-in-a-box,20w,32,4
topic-in-a-box,10w,47,3
topic-in-a-box,10w,19,4
topic-in-a-box,20w,169,3
wordcloud,20w,24,3
word,20w,96,3
word,10w,24,3
word,20w,20,4
topic-in-a-box,20w,61,4
word,10w,53,3
topic-in-a-box,20w,84,5
word,10w,53,4
word,20w,52,4
word,20w,105,4
topic-in-a-box,5w,37,3
wordcloud,5w,13,3
topic-in-a-box,5w,40,4
wordcloud,5w,35,4
histogram,5w,29,4
histogram,20w,26,5
histogram,10w,32,3
wordcloud,5w,12,3
histogram,5w,66,3
histogram,10w,59,3
topic-in-a-box,10w,41,4
wordcloud,5w,219,4
histogram,20w,80,3
histogram,20w,48,4
wordcloud,20w,186,5
histogram,5w,49,3
topic-in-a-box,5w,30,2
word,5w,18,3
wordcloud,10w,61,4
histogram,5w,24,4
word,10w,21,3
word,5w,226,4
wordcloud,20w,38,4
histogram,20w,41,5
wordcloud,10w,25,3
histogram,10w,28,3
histogram,10w,78,4
histogram,20w,30,3
histogram,20w,31,4
topic-in-a-box,10w,29,4
histogram,10w,16,4
topic-in-a-box,10w,17,4
histogram,10w,62,4
topic-in-a-box,20w,90,3
wordcloud,5w,36,5
wordcloud,5w,5,4
histogram,5w,108,3
histogram,10w,59,4
topic-in-a-box,5w,49,3
wordcloud,5w,16,4
histogram,5w,33,4
histogram,20w,38,2
wordcloud,5w,21,3
wordcloud,20w,59,4
histogram,20w,19,4
topic-in-a-box,10w,121,4
histogram,20w,12,4
topic-in-a-box,5w,37,2
topic-in-a-box,5w,18,3
histogram,20w,47,3
histogram,5w,41,3
histogram,5w,45,5
wordcloud,10w,30,3
wordcloud,5w,21,5
wordcloud,20w,77,5
histogram,20w,69,5
histogram,5w,107,3
word,5w,54,5
word,20w,26,4
wordcloud,20w,49,4
word,5w,75,2
histogram,5w,32,4
wordcloud,10w,26,5
word,10w,46,3
wordcloud,5w,24,4
histogram,20w,38,4
histogram,10w,36,5
topic-in-a-box,5w,16,1
histogram,5w,42,5
word,5w,11,4
word,5w,40,5
wordcloud,5w,6,3
word,20w,77,4
topic-in-a-box,5w,74,2
histogram,20w,107,5
histogram,10w,40,4
topic-in-a-box,10w,31,4
histogram,20w,75,4
wordcloud,5w,41,4
word,20w,19,4
histogram,20w,50,4
topic-in-a-box,20w,23,4
topic-in-a-box,5w,28,3
word,20w,34,5
histogram,5w,43,5
histogram,10w,87,5
topic-in-a-box,5w,27,1
topic-in-a-box,10w,85,4
wordcloud,5w,53,3
histogram,5w,24,4
topic-in-a-box,10w,57,5
word,10w,43,4
word,20w,44,4
word,10w,73,4
wordcloud,20w,164,1
wordcloud,20w,106,3
histogram,20w,22,3
word,20w,65,4
histogram,10w,61,4
word,20w,47,4
wordcloud,5w,29,1
wordcloud,10w,56,5
histogram,10w,75,4
word,10w,20,3
topic-in-a-box,10w,37,3
topic-in-a-box,20w,49,4
word,10w,22,3
wordcloud,20w,44,5
wordcloud,5w,61,4
histogram,10w,135,3
wordcloud,5w,31,4
word,5w,27,4
histogram,10w,95,4
topic-in-a-box,10w,34,4
word,20w,66,4
wordcloud,20w,44,4
histogram,5w,23,3
word,20w,28,3
wordcloud,10w,40,4
topic-in-a-box,20w,48,2
topic-in-a-box,10w,27,4
word,5w,69,4
word,20w,13,4
topic-in-a-box,10w,41,4
wordcloud,5w,52,4
wordcloud,20w,11,4
word,20w,50,3
wordcloud,5w,32,4
wordcloud,5w,17,4
topic-in-a-box,20w,38,3
word,10w,162,4
word,20w,112,4
topic-in-a-box,5w,29,4
histogram,10w,84,4
wordcloud,20w,30,4
topic-in-a-box,5w,36,4
histogram,5w,22,3
word,5w,52,5
histogram,10w,25,5
wordcloud,10w,72,5
histogram,5w,83,3
wordcloud,5w,31,5
topic-in-a-box,5w,107,3
topic-in-a-box,10w,61,4
word,10w,169,4
histogram,10w,56,2
histogram,5w,59,5
wordcloud,5w,22,4
histogram,5w,35,3
topic-in-a-box,5w,25,4
topic-in-a-box,5w,85,3
wordcloud,5w,32,3
topic-in-a-box,10w,73,4
topic-in-a-box,5w,41,2
histogram,20w,78,5
wordcloud,5w,33,4
wordcloud,5w,28,4
wordcloud,5w,25,4
word,5w,122,4
histogram,10w,24,4
word,5w,36,3
topic-in-a-box,20w,14,5
wordcloud,20w,56,3
histogram,5w,169,3
wordcloud,10w,57,5
topic-in-a-box,5w,113,4
histogram,10w,47,3
word,10w,63,4
wordcloud,5w,27,5
histogram,10w,32,4
wordcloud,20w,40,2
topic-in-a-box,10w,94,4
histogram,10w,55,5
topic-in-a-box,20w,28,3
wordcloud,10w,38,2
word,20w,49,3
word,20w,39,4
word,20w,46,3
word,20w,21,4
wordcloud,10w,101,4
topic-in-a-box,20w,31,4
word,5w,40,4
histogram,20w,46,3
word,20w,61,4
histogram,10w,104,4
histogram,5w,53,4
histogram,5w,52,4
wordcloud,10w,35,4
topic-in-a-box,10w,49,5
word,5w,20,2
word,20w,43,4
wordcloud,5w,35,4
word,20w,567,3
histogram,10w,42,5
word,5w,25,4
word,10w,124,2
topic-in-a-box,20w,29,4
word,10w,53,5
word,20w,83,4
wordcloud,20w,58,4
wordcloud,20w,88,5
histogram,20w,117,3
topic-in-a-box,5w,29,3
wordcloud,5w,32,4
histogram,10w,18,1
topic-in-a-box,10w,35,4
histogram,10w,80,3
word,5w,147,4
topic-in-a-box,10w,87,3
wordcloud,10w,6,4
wordcloud,20w,71,3
wordcloud,10w,89,3
histogram,20w,360,3
histogram,10w,37,3
wordcloud,10w,26,4
wordcloud,20w,126,3
topic-in-a-box,5w,50,1
histogram,20w,38,3
histogram,5w,120,2
histogram,5w,38,4
topic-in-a-box,20w,294,4
word,5w,80,4
wordcloud,10w,42,4
topic-in-a-box,20w,38,5
topic-in-a-box,20w,87,4
word,5w,104,4
wordcloud,5w,20,1
topic-in-a-box,10w,38,3
histogram,20w,72,5
topic-in-a-box,20w,47,4
topic-in-a-box,20w,62,4
wordcloud,5w,28,2
histogram,20w,22,4
histogram,20w,25,4
histogram,5w,34,4
topic-in-a-box,20w,45,2
topic-in-a-box,20w,25,5
wordcloud,20w,33,4
wordcloud,10w,70,3
wordcloud,20w,317,2
wordcloud,5w,68,4
topic-in-a-box,5w,111,5
histogram,10w,56,4
word,10w,23,3
histogram,20w,88,3
word,20w,23,3
wordcloud,5w,85,5
histogram,5w,53,4
word,5w,17,4
topic-in-a-box,20w,202,4
topic-in-a-box,5w,275,1
topic-in-a-box,20w,115,3
wordcloud,5w,43,2
wordcloud,20w,29,4
topic-in-a-box,5w,29,3
word,20w,14,4
topic-in-a-box,20w,40,4
wordcloud,10w,26,1
topic-in-a-box,20w,73,4
wordcloud,20w,18,4
histogram,5w,49,1
word,10w,57,4
word,20w,19,3
wordcloud,20w,57,4
wordcloud,20w,21,5
topic-in-a-box,10w,34,3
wordcloud,20w,89,4
histogram,10w,31,4
word,20w,37,4
topic-in-a-box,5w,32,2
word,5w,134,4
topic-in-a-box,10w,60,3
wordcloud,20w,33,4
word,5w,21,5
topic-in-a-box,5w,51,4
word,5w,51,2
word,20w,59,3
word,10w,26,3
topic-in-a-box,20w,55,5
histogram,10w,18,4
word,20w,59,2
word,10w,97,2
wordcloud,5w,47,4
topic-in-a-box,10w,36,2
word,20w,30,4
wordcloud,5w,12,5
word,5w,30,4
histogram,20w,45,4
histogram,20w,38,4
wordcloud,5w,42,4
histogram,10w,80,2
topic-in-a-box,5w,243,4
histogram,20w,84,4
word,5w,44,4
histogram,5w,56,2
histogram,20w,34,4
topic-in-a-box,20w,160,3
word,5w,51,4
topic-in-a-box,5w,64,3
wordcloud,5w,325,3
histogram,5w,65,4
word,5w,33,2
histogram,20w,47,3
wordcloud,20w,32,5
histogram,10w,114,2
histogram,20w,11,4
word,20w,17,3
word,20w,34,4
topic-in-a-box,20w,36,4
word,20w,21,4
histogram,20w,135,5
histogram,10w,58,4
word,10w,92,4
wordcloud,10w,20,3
wordcloud,10w,62,4
word,5w,63,4
histogram,5w,50,4
wordcloud,5w,31,3
histogram,5w,31,4
wordcloud,20w,19,4
word,20w,28,3
wordcloud,5w,31,4
wordcloud,5w,53,2
word,10w,38,4
topic-in-a-box,10w,86,5
word,10w,75,5
wordcloud,10w,36,5
wordcloud,5w,15,2
histogram,10w,27,2
topic-in-a-box,10w,96,3
topic-in-a-box,5w,26,4
wordcloud,10w,54,3
wordcloud,10w,52,4
histogram,5w,70,3
histogram,10w,29,4
word,10w,33,4
topic-in-a-box,20w,108,3
word,10w,37,4
wordcloud,20w,28,5
topic-in-a-box,5w,143,3
word,10w,64,3
wordcloud,10w,27,4
wordcloud,5w,23,2
topic-in-a-box,5w,119,4
topic-in-a-box,10w,149,4
histogram,20w,48,4
topic-in-a-box,20w,42,5
histogram,10w,42,4
histogram,10w,32,4
word,5w,19,3
histogram,10w,41,5
word,5w,9,3
word,10w,90,2
word,5w,125,4
histogram,10w,37,4
word,20w,44,2
histogram,10w,26,3
histogram,10w,44,4
topic-in-a-box,5w,86,4
topic-in-a-box,5w,42,2
word,20w,26,5
histogram,20w,37,4
word,10w,27,4
histogram,20w,56,2
word,20w,211,3
wordcloud,5w,28,4
histogram,10w,45,3
topic-in-a-box,5w,19,4
wordcloud,20w,1020,4
topic-in-a-box,10w,55,3
word,20w,94,3
topic-in-a-box,10w,77,3
word,5w,36,3
topic-in-a-box,5w,52,4
topic-in-a-box,5w,125,5
wordcloud,20w,72,4
